Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;LOTEAMENTO PORTAL DA AMAZONIA;S/N;CALAFATE;69905-801;GASOLINA;01/03/2022;6,98;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;LOTEAMENTO PORTAL DA AMAZONIA;S/N;CALAFATE;69905-801;ETANOL;01/03/2022;6,17;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;LOTEAMENTO PORTAL DA AMAZONIA;S/N;CALAFATE;69905-801;GASOLINA ADITIVADA;01/03/2022;6,98;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO ISAURAO LTDA; 04.594.586/0001-10;RUA ISAURA PARENTE;1412;ESTACAO EXPERIMENTAL;69918-216;GASOLINA;01/03/2022;6,85;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO ISAURAO LTDA; 04.594.586/0001-10;RUA ISAURA PARENTE;1412;ESTACAO EXPERIMENTAL;69918-216;ETANOL;01/03/2022;5,99;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO ISAURAO LTDA; 04.594.586/0001-10;RUA ISAURA PARENTE;1412;ESTACAO EXPERIMENTAL;69918-216;GASOLINA ADITIVADA;01/03/2022;6,85;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;AVIARIO;69909-720;GASOLINA;01/03/2022;6,88;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;AVIARIO;69909-720;GASOLINA ADITIVADA;01/03/2022;6,95;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;FLORESTA;69906-380;GASOLINA;01/03/2022;6,89;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;FLORESTA;69906-380;ETANOL;01/03/2022;5,59;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;FLORESTA;69906-380;GASOLINA ADITIVADA;01/03/2022;6,99;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;7 BEC;69918-093;GASOLINA;01/03/2022;6,79;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;7 BEC;69918-093;ETANOL;01/03/2022;6,1;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;BOSQUE;69903-341;GASOLINA;01/03/2022;6,73;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;BOSQUE;69903-341;ETANOL;01/03/2022;5,99;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;BOSQUE;69903-341;GASOLINA ADITIVADA;01/03/2022;7,07;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;FARHAT & FARHAT LTDA; 06.057.934/0001-46;RUA SANTA INES;1036;BAIXA DA COLINA;69901-313;GASOLINA;01/03/2022;6,999;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;FARHAT & FARHAT LTDA; 06.057.934/0001-46;RUA SANTA INES;1036;BAIXA DA COLINA;69901-313;ETANOL;01/03/2022;5,999;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;FARHAT & FARHAT LTDA; 06.057.934/0001-46;RUA SANTA INES;1036;BAIXA DA COLINA;69901-313;GASOLINA ADITIVADA;01/03/2022;7,099;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;CENTRO;69900-072;GASOLINA;01/03/2022;6,73;R$ / litro;BRANCA
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;CENTRO;69900-072;ETANOL;01/03/2022;5,59;R$ / litro;BRANCA
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;CENTRO;69900-072;GASOLINA ADITIVADA;01/03/2022;6,73;R$ / litro;BRANCA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;EST EXPERIMENTAL;69908-210;GASOLINA;01/03/2022;6,889;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;EST EXPERIMENTAL;69908-210;ETANOL;01/03/2022;5,98;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;EST EXPERIMENTAL;69908-210;GASOLINA ADITIVADA;01/03/2022;6,99;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;POSTO BONZAO LTDA; 14.315.998/0001-28;RUA DOM BOSCO 1;257;BOSQUE;69900-643;GASOLINA;01/03/2022;7,299;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;POSTO BONZAO LTDA; 14.315.998/0001-28;RUA DOM BOSCO 1;257;BOSQUE;69900-643;GASOLINA ADITIVADA;01/03/2022;7,359;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;FLORESTA;69906-380;GASOLINA;01/03/2022;6,99;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;FLORESTA;69906-380;ETANOL;01/03/2022;6,14;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;FLORESTA;69906-380;GASOLINA ADITIVADA;01/03/2022;6,99;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;7O BEC;69918-108;GASOLINA;01/03/2022;7,17;R$ / litro;VIBRA ENERGIA
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;7O BEC;69918-108;GASOLINA ADITIVADA;01/03/2022;7,17;R$ / litro;VIBRA ENERGIA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;CENTRO;57480-000;GASOLINA;01/03/2022;7,298;R$ / litro;VIBRA ENERGIA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;CENTRO;57480-000;ETANOL;01/03/2022;5,939;R$ / litro;VIBRA ENERGIA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;CENTRO;57480-000;GASOLINA ADITIVADA;01/03/2022;7,319;R$ / litro;VIBRA ENERGIA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;CENTRO;57480-000;GASOLINA;01/03/2022;7,296;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;CENTRO;57480-000;ETANOL;01/03/2022;5,987;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;PEDRA VELHA;57480-000;GASOLINA;01/03/2022;7,277;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;PEDRA VELHA;57480-000;ETANOL;01/03/2022;5,938;R$ / litro;BRANCA
