CODMUN7,ano,Nome,CV_SCR1 (1 ano)
1100015,2016,Alta Floresta D'Oeste,10611
1100023,2016,Ariquemes,45300
1100031,2016,Cabixi,2869
1100049,2016,Cacoal,40083
1100056,2016,Cerejeiras,8699
1100064,2016,Colorado do Oeste,8851
1100072,2016,Corumbiara,4251
1100080,2016,Costa Marques,6266
1100098,2016,EspigÆo D'Oeste,15107
1100106,2016,Guajar 0Mirim,16920
1100114,2016,Jaru,24774
1100122,2016,Ji0Paran ,60324
1100130,2016,Machadinho D'Oeste,14955
1100148,2016,Nova Brasilƒndia D'Oeste,10188
1100155,2016,Ouro Preto do Oeste,19251
1100189,2016,Pimenta Bueno,18348
1100205,2016,Porto Velho,215855
1100254,2016,Presidente M‚dici,11553
1100262,2016,Rio Crespo,1370
1100288,2016,Rolim de Moura,25383
1100296,2016,Santa Luzia D'Oeste,4521
1100304,2016,Vilhena,41211
1100320,2016,SÆo Miguel do Guapor‚,10257
1100338,2016,Nova Mamor‚,10418
1100346,2016,Alvorada D'Oeste,7603
1100379,2016,Alto Alegre dos Parecis,6148
1100403,2016,Alto Para¡so,9019
1100452,2016,Buritis,16944
1100502,2016,Novo Horizonte do Oeste,4806
1100601,2016,Cacaulƒndia,2990
1100700,2016,Campo Novo de Rond“nia,5684
1100809,2016,Candeias do Jamari,8824
1100908,2016,Castanheiras,1771
1100924,2016,Chupinguaia,4426
1100940,2016,Cujubim,7539
1101005,2016,Governador Jorge Teixeira,4609
1101104,2016,ItapuÆ do Oeste,4258
1101203,2016,Ministro Andreazza,4644
1101302,2016,Mirante da Serra,5899
1101401,2016,Monte Negro,6871
1101435,2016,Nova UniÆo,4079
1101450,2016,Parecis,2069
1101468,2016,Pimenteiras do Oeste,1080
1101476,2016,Primavera de Rond“nia,1476
1101484,2016,SÆo Felipe D'Oeste,2814
1101492,2016,SÆo Francisco do Guapor‚,8271
1101500,2016,Seringueiras,6215
1101559,2016,Teixeir¢polis,2539
1101609,2016,Theobroma,5423
1101708,2016,Urup ,6402
1101757,2016,Vale do Anari,4549
1101807,2016,Vale do Para¡so,3121
1200013,2016,Acrelƒndia,5108
1200054,2016,Assis Brasil,2151
1200104,2016,Brasil‚ia,8582
1200138,2016,Bujari,3353
1200179,2016,Capixaba,4038
1200203,2016,Cruzeiro do Sul,30372
1200252,2016,Epitaciolƒndia,6585
1200302,2016,Feij¢,11048
1200328,2016,JordÆo,1808
1200336,2016,Mƒncio Lima,5121
1200344,2016,Manoel Urbano,2985
1200351,2016,Marechal Thaumaturgo,5281
1200385,2016,Pl cido de Castro,5940
1200393,2016,Porto Walter,3486
1200401,2016,Rio Branco,154892
1200427,2016,Rodrigues Alves,4786
1200435,2016,Santa Rosa do Purus,1258
1200450,2016,Senador Guiomard,8328
1200500,2016,Sena Madureira,15967
1200609,2016,Tarauac ,12018
1200708,2016,Xapuri,6903
1200807,2016,Porto Acre,4640
1300029,2016,AlvarÆes,3768
1300060,2016,Amatur ,2420
1300086,2016,AnamÆ,4216
1300102,2016,Anori,6679
1300144,2016,Apu¡,8195
1300201,2016,Atalaia do Norte,5628
1300300,2016,Autazes,11997
1300409,2016,Barcelos,7366
1300508,2016,Barreirinha,9789
1300607,2016,Benjamin Constant,12587
1300631,2016,Beruri,5185
1300680,2016,Boa Vista do Ramos,5349
1300706,2016,Boca do Acre,10947
1300805,2016,Borba,13479
1300839,2016,Caapiranga,3615
1300904,2016,Canutama,4967
1301001,2016,Carauari,9730
1301100,2016,Careiro,9175
1301159,2016,Careiro da V rzea,8480
1301209,2016,Coari,29216
1301308,2016,Codaj s,8442
1301407,2016,Eirunep‚,12350
1301506,2016,Envira,5254
1301605,2016,Fonte Boa,8207
1301654,2016,Guajar ,3496
1301704,2016,Humait ,15817
1301803,2016,Ipixuna,6651
1301852,2016,Iranduba,15488
1301902,2016,Itacoatiara,34999
1301951,2016,Itamarati,1875
1302009,2016,Itapiranga,3125
1302108,2016,Japur ,2602
1302207,2016,Juru ,4485
1302306,2016,Juta¡,6621
1302405,2016,L brea,15525
1302504,2016,Manacapuru,34354
1302553,2016,Manaquiri,8195
1302603,2016,Manaus,849048
1302702,2016,Manicor‚,18604
1302801,2016,MaraÆ,5411
1302900,2016,Mau‚s,19813
1303007,2016,Nhamund ,6195
1303106,2016,Nova Olinda do Norte,13246
1303205,2016,Novo AirÆo,5480
1303304,2016,Novo AripuanÆ,8813
1303403,2016,Parintins,38916
1303502,2016,Pauini,6761
1303536,2016,Presidente Figueiredo,12112
1303569,2016,Rio Preto da Eva,11662
1303601,2016,Santa Isabel do Rio Negro,4951
1303700,2016,Santo Ant“nio do I‡ ,7070
1303809,2016,SÆo Gabriel da Cachoeira,11031
1303908,2016,SÆo Paulo de Oliven‡a,12579
1303957,2016,SÆo SebastiÆo do UatumÆ,4428
1304005,2016,Silves,3118
1304062,2016,Tabatinga,19215
1304104,2016,Tapau ,8189
1304203,2016,Tef‚,22249
1304237,2016,Tonantins,5678
1304260,2016,Uarini,5018
1304302,2016,Urucar ,6186
1304401,2016,Urucurituba,6999
1400027,2016,Amajari,1904
1400050,2016,Alto Alegre,5927
1400100,2016,Boa Vista,136734
1400159,2016,Bonfim,4041
1400175,2016,Cant ,4553
1400209,2016,Caracara¡,7021
1400233,2016,Caroebe,3522
1400282,2016,Iracema,3478
1400308,2016,Mucaja¡,5205
1400407,2016,Normandia,2867
1400456,2016,Pacaraima,3649
1400472,2016,Rorain¢polis,10385
1400506,2016,SÆo JoÆo da Baliza,3150
1400605,2016,SÆo Luiz,2222
1400704,2016,UiramutÆ,2867
1500107,2016,Abaetetuba,58218
1500131,2016,Abel Figueiredo,2785
1500206,2016,Acar ,22814
1500305,2016,Afu ,11375
1500347,2016,µgua Azul do Norte,9637
1500404,2016,Alenquer,19728
1500503,2016,Almeirim,14292
1500602,2016,Altamira,45449
1500701,2016,Anaj s,8180
1500800,2016,Ananindeua,225873
1500859,2016,Anapu,9605
1500909,2016,Augusto Corrˆa,12948
1500958,2016,Aurora do Par ,7752
1501006,2016,Aveiro,5958
1501105,2016,Bagre,8639
1501204,2016,BaiÆo,15151
1501253,2016,Bannach,1436
1501303,2016,Barcarena,42954
1501402,2016,Bel‚m,667049
1501451,2016,Belterra,5772
1501501,2016,Benevides,22785
1501576,2016,Bom Jesus do Tocantins,6513
1501600,2016,Bonito,5702
1501709,2016,Bragan‡a,44368
1501725,2016,Brasil Novo,6473
1501758,2016,Brejo Grande do Araguaia,2860
1501782,2016,Breu Branco,19033
1501808,2016,Breves,33214
1501907,2016,Bujaru,9781
1501956,2016,Cachoeira do Piri ,8339
1502004,2016,Cachoeira do Arari,7299
1502103,2016,Camet ,49640
1502152,2016,CanaÆ dos Caraj s,12370
1502202,2016,Capanema,27622
1502301,2016,CapitÆo Po‡o,22465
1502400,2016,Castanhal,75319
1502509,2016,Chaves,7260
1502608,2016,Colares,4085
1502707,2016,Concei‡Æo do Araguaia,19708
1502756,2016,Conc¢rdia do Par ,11278
1502764,2016,Cumaru do Norte,4874
1502772,2016,Curion¢polis,6477
1502806,2016,Curralinho,10044
1502855,2016,Curu ,4533
1502905,2016,Curu‡ ,11312
1502939,2016,Dom Eliseu,22724
1502954,2016,Eldorado do Caraj s,12463
1503002,2016,Faro,2623
1503044,2016,Floresta do Araguaia,7050
1503077,2016,GarrafÆo do Norte,10793
